date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,Loads(MW)
1/1/2019 0:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,14,25,25,23,9,0,55,0,1018,23,10,335,8,DHAKA,4984
1/1/2019 1:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,14,25,25,23,9,0,57,0,1018,23,10,343,8,DHAKA,4644
1/1/2019 2:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,14,25,25,22,9,0,59,0,1018,22,10,350,8,DHAKA,4487
1/1/2019 3:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,14,21,25,21,9,0,61,0,1018,21,10,358,8,DHAKA,4399
1/1/2019 4:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,14,21,23,21,8,0,63,0,1018,21,10,244,7,DHAKA,4350
1/1/2019 5:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,14,21,22,21,7,0,65,0,1018,21,10,130,6,DHAKA,4668
1/1/2019 6:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,14,20,20,20,6,0,67,0,1019,20,10,16,6,DHAKA,4917.6
1/1/2019 7:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,14,21,22,21,7,0,62,0,1019,21,10,15,6,DHAKA,5528.02
1/1/2019 8:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,23,23,22,7,0,57,0,1019,22,10,13,6,DHAKA,5894.3
1/1/2019 9:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,25,25,24,8,0,52,0,1020,24,10,11,7,DHAKA,5813.6
1/1/2019 10:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,26,26,25,8,0,48,0,1019,25,10,17,7,DHAKA,5978.21
1/1/2019 11:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,27,27,26,8,0,43,0,1019,26,10,22,7,DHAKA,6299.61
1/1/2019 12:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,28,28,28,8,0,39,0,1019,28,10,28,6,DHAKA,6314.4
1/1/2019 13:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,12,28,28,29,6,0,37,0,1018,29,10,131,5,DHAKA,6068.9
1/1/2019 14:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,12,29,29,30,5,0,34,0,1017,30,10,234,4,DHAKA,6047.2
1/1/2019 15:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,12,30,30,31,4,0,31,0,1016,31,10,337,3,DHAKA,6003.4
1/1/2019 16:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,12,29,29,30,4,0,35,0,1016,30,10,330,4,DHAKA,6157.67
1/1/2019 17:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,28,28,29,5,0,38,0,1016,29,10,324,4,DHAKA,7606
1/1/2019 18:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,28,28,28,5,0,41,0,1017,28,10,318,5,DHAKA,7991
1/1/2019 19:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,27,27,27,6,0,43,0,1017,27,10,322,6,DHAKA,7721
1/1/2019 20:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,26,26,26,7,0,46,0,1017,26,10,327,6,DHAKA,7476
1/1/2019 21:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,26,26,25,8,0,48,0,1017,25,10,331,7,DHAKA,6757
1/1/2019 22:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,26,26,25,8,0,49,0,1017,25,10,335,7,DHAKA,6180
1/1/2019 23:00,31,20,0,8.7,7,26,2:14 AM,1:56 PM,6:40 AM,5:23 PM,13,25,25,24,8,0,51,0,1017,24,10,339,7,DHAKA,5676
1/2/2019 0:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,25,25,24,8,0,52,0,1018,24,10,343,7,DHAKA,5264
1/2/2019 1:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,25,25,23,8,0,54,0,1018,23,10,232,7,DHAKA,4972
1/2/2019 2:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,25,25,23,8,0,56,0,1018,23,10,122,7,DHAKA,4844
1/2/2019 3:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,22,25,22,8,0,58,0,1018,22,10,11,7,DHAKA,4687
1/2/2019 4:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,21,23,21,7,0,59,0,1018,21,10,24,6,DHAKA,4679
1/2/2019 5:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,21,22,21,7,0,60,0,1018,21,10,37,6,DHAKA,5013
1/2/2019 6:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,21,21,21,6,0,61,0,1018,21,10,49,5,DHAKA,5279
1/2/2019 7:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,22,22,22,5,0,57,0,1019,22,10,46,4,DHAKA,5818.3
1/2/2019 8:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,12,24,24,23,4,0,52,0,1019,23,10,42,3,DHAKA,6128
1/2/2019 9:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,12,25,25,24,3,0,48,0,1020,24,10,39,3,DHAKA,6096.8
1/2/2019 10:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,12,26,26,26,3,0,44,0,1019,26,10,137,3,DHAKA,6094.4
1/2/2019 11:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,12,27,27,27,4,0,41,0,1019,27,10,235,3,DHAKA,6366.6
1/2/2019 12:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,13,28,28,28,5,0,38,0,1018,28,10,334,4,DHAKA,6262.7
1/2/2019 13:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,12,28,28,29,6,0,35,0,1017,29,10,319,5,DHAKA,6119.58
1/2/2019 14:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,11,29,29,29,8,0,33,0,1017,29,10,304,7,DHAKA,6142.7
1/2/2019 15:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,11,29,29,30,9,0,30,0,1016,30,10,289,8,DHAKA,6075.87
1/2/2019 16:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,11,28,28,29,9,0,32,0,1016,29,10,289,8,DHAKA,6267.79
1/2/2019 17:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,11,28,28,28,9,0,34,0,1016,28,10,290,8,DHAKA,7866
1/2/2019 18:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,11,27,27,28,9,0,36,0,1016,28,10,290,8,DHAKA,8339
1/2/2019 19:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,11,26,26,27,9,0,39,0,1016,27,10,295,8,DHAKA,7965
1/2/2019 20:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,11,26,26,26,8,0,41,0,1017,26,10,300,7,DHAKA,7481
1/2/2019 21:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,12,25,25,25,8,0,44,0,1017,25,10,305,7,DHAKA,6847
1/2/2019 22:00,30,21,0,8.7,7,19,3:10 AM,2:37 PM,6:41 AM,5:24 PM,12,25,25,24,7,0,45,0,1018,24,10,310,6,DHAKA,6316
